slug,asset,epoch,entered,unwinded,forced,entry_side,shares_yes,shares_no,avg_cost_yes,avg_cost_no,total_cost,locked_payout,pnl,max_gross_exposure,hedged,dca_count,minutes_to_unwind
btc-updown-15m-1766046600,btc,1766046600,True,False,True,no,0,200,0.0,0.23523499999999994,47.04699999999999,0.0,-47.04699999999999,21.5,False,1,
btc-updown-15m-1766047500,btc,1766047500,True,False,True,yes,400,0,0.08758749999999998,0.0,35.035,0.0,-35.035,7.5,False,3,
btc-updown-15m-1766048400,btc,1766048400,True,True,False,yes,200,200,0.24524499999999996,0.7157149999999999,192.19199999999995,200.0,7.80800000000005,56.99999999999999,True,1,
btc-updown-15m-1766049300,btc,1766049300,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766050200,btc,1766050200,True,False,True,no,0,300,0.0,0.155155,46.546499999999995,0.0,-46.546499999999995,33.0,False,2,
btc-updown-15m-1766051100,btc,1766051100,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766052000,btc,1766052000,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766052900,btc,1766052900,True,True,False,yes,100,100,0.31531499999999996,0.605605,92.09199999999998,100.0,7.9080000000000155,39.5,True,0,
btc-updown-15m-1766053800,btc,1766053800,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766054700,btc,1766054700,True,False,True,yes,100,0,0.065065,0.0,6.5065,0.0,-6.5065,0.0,False,0,
btc-updown-15m-1766055600,btc,1766055600,True,False,True,yes,400,0,0.0975975,0.0,39.039,0.0,-39.039,31.5,False,3,
btc-updown-15m-1766056500,btc,1766056500,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766057400,btc,1766057400,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766058300,btc,1766058300,True,True,False,no,200,200,0.685685,0.28528499999999996,194.194,200.0,5.806000000000012,63.0,True,1,
btc-updown-15m-1766059200,btc,1766059200,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766060100,btc,1766060100,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766061000,btc,1766061000,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766061900,btc,1766061900,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766062800,btc,1766062800,True,False,True,no,0,100,0.0,0.05505499999999999,5.5055,0.0,-5.5055,0.0,False,0,
btc-updown-15m-1766063700,btc,1766063700,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766064600,btc,1766064600,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766065500,btc,1766065500,True,True,True,no,200,200,0.6156149999999999,0.25525499999999995,174.17399999999998,200.0,25.826000000000022,77.0,True,1,
btc-updown-15m-1766066400,btc,1766066400,True,True,False,no,200,200,0.755755,0.22021999999999997,195.195,200.0,4.805000000000007,24.5,True,1,
btc-updown-15m-1766067300,btc,1766067300,True,False,True,no,0,400,0.0,0.012512499999999998,5.004999999999999,0.0,-5.004999999999999,0.5,False,3,
btc-updown-15m-1766068200,btc,1766068200,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766069100,btc,1766069100,True,True,False,no,100,100,0.65065,0.22522499999999998,87.58749999999999,100.0,12.412500000000009,35.0,True,0,
btc-updown-15m-1766070000,btc,1766070000,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766070900,btc,1766070900,True,False,True,no,0,200,0.0,0.24024,48.048,0.0,-48.048,18.5,False,1,
btc-updown-15m-1766071800,btc,1766071800,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766072700,btc,1766072700,True,False,True,yes,300,0,0.15348666666666666,0.0,46.046,0.0,-46.046,25.500000000000004,False,2,
btc-updown-15m-1766073600,btc,1766073600,True,True,False,yes,100,100,0.32031999999999994,0.5955949999999999,91.59149999999998,100.0,8.408500000000018,40.5,True,0,
btc-updown-15m-1766074500,btc,1766074500,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766075400,btc,1766075400,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766076300,btc,1766076300,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766077200,btc,1766077200,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766078100,btc,1766078100,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766079000,btc,1766079000,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766079900,btc,1766079900,True,False,True,yes,300,0,0.17517499999999997,0.0,52.552499999999995,0.0,-52.552499999999995,46.5,False,2,
btc-updown-15m-1766080800,btc,1766080800,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766081700,btc,1766081700,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766084400,btc,1766084400,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766085300,btc,1766085300,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766086200,btc,1766086200,True,False,True,yes,100,0,0.31531499999999996,0.0,31.531499999999994,0.0,-31.531499999999994,4.5,False,0,
btc-updown-15m-1766087100,btc,1766087100,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766088000,btc,1766088000,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766088900,btc,1766088900,True,True,False,yes,100,100,0.30530499999999994,0.555555,86.086,100.0,13.914000000000001,44.5,True,0,
btc-updown-15m-1766089800,btc,1766089800,True,True,False,yes,100,100,0.265265,0.545545,81.08099999999999,100.0,18.91900000000001,45.5,True,0,
btc-updown-15m-1766090700,btc,1766090700,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766091600,btc,1766091600,True,False,True,no,0,100,0.0,0.005004999999999999,0.5005,0.0,-0.5005,0.0,False,0,
btc-updown-15m-1766092500,btc,1766092500,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766093400,btc,1766093400,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766094300,btc,1766094300,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766095200,btc,1766095200,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766096100,btc,1766096100,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766097000,btc,1766097000,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766097900,btc,1766097900,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766098800,btc,1766098800,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766099700,btc,1766099700,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766100600,btc,1766100600,True,True,True,no,300,300,0.28528499999999996,0.21688333333333332,150.65049999999997,300.0,149.34950000000003,217.5,True,2,
btc-updown-15m-1766101500,btc,1766101500,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766102400,btc,1766102400,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766103300,btc,1766103300,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766104200,btc,1766104200,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766105100,btc,1766105100,True,False,True,no,0,300,0.0,0.17517499999999997,52.552499999999995,0.0,-52.552499999999995,13.5,False,2,
btc-updown-15m-1766106000,btc,1766106000,True,True,False,yes,400,400,0.03253249999999999,0.8608599999999998,357.3569999999999,400.0,42.643000000000086,56.00000000000001,True,3,
btc-updown-15m-1766106900,btc,1766106900,True,False,True,yes,100,0,0.275275,0.0,27.5275,0.0,-27.5275,0.0,False,0,
btc-updown-15m-1766107800,btc,1766107800,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766108700,btc,1766108700,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766109600,btc,1766109600,True,True,False,yes,200,200,0.20520499999999997,0.785785,198.19799999999998,200.0,1.802000000000021,21.5,True,1,
btc-updown-15m-1766110500,btc,1766110500,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766111400,btc,1766111400,True,True,True,yes,300,300,0.20020000000000002,0.7157149999999999,274.7745,300.0,25.22550000000001,85.49999999999999,True,2,
btc-updown-15m-1766112300,btc,1766112300,True,False,True,no,0,100,0.0,0.07507499999999999,7.5074999999999985,0.0,-7.5074999999999985,0.0,False,0,
btc-updown-15m-1766113200,btc,1766113200,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766114100,btc,1766114100,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766115000,btc,1766115000,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766115900,btc,1766115900,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766116800,btc,1766116800,True,False,True,no,0,300,0.0,0.155155,46.546499999999995,0.0,-46.546499999999995,6.0,False,2,
btc-updown-15m-1766117700,btc,1766117700,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766118600,btc,1766118600,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766119500,btc,1766119500,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766120400,btc,1766120400,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766121300,btc,1766121300,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766122200,btc,1766122200,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766123100,btc,1766123100,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766124000,btc,1766124000,True,False,True,yes,100,0,0.085085,0.0,8.5085,0.0,-8.5085,0.0,False,0,
btc-updown-15m-1766124900,btc,1766124900,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766125800,btc,1766125800,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766126700,btc,1766126700,True,False,True,no,0,400,0.0,0.007507499999999998,3.0029999999999992,0.0,-3.0029999999999992,2.0,False,3,
btc-updown-15m-1766127600,btc,1766127600,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766128500,btc,1766128500,True,True,False,yes,300,300,0.1618283333333333,0.7957949999999999,287.287,300.0,12.713000000000022,61.49999999999999,True,2,
btc-updown-15m-1766129400,btc,1766129400,True,True,False,yes,100,100,0.17017,0.6256249999999999,79.57949999999998,100.0,20.42050000000002,37.5,True,0,
btc-updown-15m-1766130300,btc,1766130300,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766131200,btc,1766131200,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766132100,btc,1766132100,True,False,True,yes,300,0,0.19185833333333335,0.0,57.557500000000005,0.0,-57.557500000000005,12.5,False,2,
btc-updown-15m-1766133000,btc,1766133000,True,True,False,no,400,400,0.965965,0.03253249999999999,399.39899999999994,400.0,0.6010000000000559,14.000000000000002,True,3,
